Brand,Storage,Refresh_Rate,Weight,Price,CPU_Brand,CPU_Series,CPU_Type,Warranty_Years,RAM_GB,OS,Brand_enc,CPU_Brand_enc,CPU_Series_enc,CPU_Type_enc,OS_enc
MSI,2,60,3.6 kg,320000,intel,ultra 9,u,2,4,Windows 11,9,1,15,7,1
MSI,1,60,2.4 kg,79999,intel,i9,hx,2,16,Windows 11,9,1,7,5,1
Acer,512,60,2.29 kg,39999,intel,i5,h,1,8,Windows 11,2,1,5,3,1
Dell,512,60,2.49 kg,57999,intel,i7,h,1,16,Windows 11,4,1,6,3,1
Dell,1,60,2.49 kg,89999,intel,i9,h,1,16,dos,4,1,7,3,2
Dell,1,60,2.49 kg,67999,intel,i7,h,1,32,dos,4,1,6,3,2
Dell,1,60,2.49 kg,57999,intel,i7,h,1,16,dos,4,1,6,3,2
HP,512,144,2.29 kg,40999,intel,i7,h,1,16,dos,5,1,6,3,2
HP,512,144,2.31 kg,51499,intel,i7,hx,1,16,dos,5,1,6,5,2
HP,512,144,2.29 kg,47777,intel,i7,h,1,16,dos,5,1,6,3,2
Lenovo,512,60,1.77 kg,31999,intel,i5,hx,2,16,Windows 11,8,1,5,5,1
HP,1,144,2.31 kg,39666,intel,i5,hx,1,16,dos,5,1,5,5,2
HP,1,144,2.31 kg,39666,intel,i5,hx,1,16,dos,5,1,5,5,2
HP,512,144,2.29 kg,33999,intel,i5,h,1,8,dos,5,1,5,3,2
HP,512,144,2.29 kg,33999,intel,i5,h,1,8,dos,5,1,5,3,2
HP,1,60,2.42 kg,106999,intel,ultra 9,u,1,16,Windows 11,5,1,15,7,1
HP,1,60,2.44kg,104999,amd,ai 9,hx,1,32,Windows 11,5,0,1,5,1
Lenovo,1,60,1.9 kg,107999,intel,i9,hx,1,16,Windows 11,8,1,7,5,1
ASUS,1,144,1.85 Kg,105200,amd,ai 7,h,1,32,Windows 11,1,0,0,3,1
Lenovo,2,60,2.57 kg,205000,intel,ultra 9,u,1,32,Windows 11,8,1,15,7,1
HP,1,144,2.33 kg,53999,intel,i7,hx,1,16,dos,5,1,6,5,2
ASUS,1,144,2.50 Kg,109300,amd,ryzen 9,hx,1,16,Windows 11,1,0,11,5,1
ASUS,1,144,2.50 Kg,102000,amd,ryzen 9,hx,1,16,Windows 11,1,0,11,5,1
ASUS,512,144,2.20 Kg,56199,amd,ryzen 7,h,1,16,Windows 11,1,0,10,3,1
ASUS,1,144,1.46 Kg,66999,amd,ai 7,h,1,16,Windows 11,1,0,0,3,1
ASUS,512,144,1.46 Kg,48888,amd,ryzen 7,hs,1,16,Windows 11,1,0,10,4,1
MSI,1,60,3.1 kg,94999,intel,ultra 9,u,2,32,Windows 11,9,1,15,7,1
MSI,1,60,3 kg,228337,intel,ultra 9,u,2,32,Windows 11,9,1,15,7,1
MSI,2,60,3.6 kg,249999,intel,ultra 9,u,2,4,Windows 11,9,1,15,7,1
Acer,512,60,1.8 kg,26699,intel,i5,u,1,8,dos,2,1,5,7,2
HP,512,144,2.29 kg,34999,intel,i5,h,1,8,dos,5,1,5,3,2
MSI,512,60,1.86 kg,41999,intel,i7,h,2,16,dos,9,1,6,3,2
MSI,512,60,2.4 kg,61999,intel,i7,hx,2,8,dos,9,1,6,5,2
MSI,1,60,2.4 kg,69999,intel,i9,hx,2,16,Windows 11,9,1,7,5,1
Lenovo,512,60,2.38 kg,39999,amd,ryzen 7,hs,1,4,dos,8,0,10,4,2
HP,1,144,2.31 kg,42999,intel,i7,h,1,16,dos,5,1,6,3,2
Lenovo,512,60,2.38 kg,47777,amd,ryzen 7,hs,1,4,dos,8,0,10,4,2
Dell,512,60,2.81 kg,37777,intel,i5,hx,3,16,dos,4,1,5,5,2
Lenovo,512,60,2.4 kg,66666,intel,i7,hx,2,16,Windows 11,8,1,6,5,1
HP,512,144,2.29 kg,30999,intel,i5,h,1,8,dos,5,1,5,3,2
HP,512,144,2.29 kg,31899,intel,i5,h,1,8,dos,5,1,5,3,2
Lenovo,1,60,1.9 kg,113000,intel,i9,hx,1,32,dos,8,1,7,5,2
ASUS,1,144,2.50 Kg,92999,amd,ryzen 9,hx,1,16,Windows 11,1,0,11,5,1
ASUS,512,144,2.20 Kg,36666,intel,i5,h,1,8,Windows 11,1,1,5,3,1
ASUS,1,144,3.30 Kg,164888,intel,ultra 9,u,1,16,Windows 11,1,1,15,7,1
ASUS,1,144,2.65 Kg,135000,intel,ultra 9,u,1,32,Windows 11,1,1,15,7,1
ASUS,1,144,2.50 Kg,85399,intel,i9,hx,1,16,Windows 11,1,1,7,5,1
MSI,1,60,2.3 kg,69999,intel,i9,hx,1,16,dos,9,1,7,5,2
Lenovo,512,60,2.38 kg,30777,intel,i5,hx,2,4,Windows 11,8,1,5,5,1
ASUS,1,144,1.95 Kg,108000,intel,ultra 9,u,1,16,Windows 11,1,1,15,7,1
MSI,1,60,1.99 kg,104999,intel,ultra 9,u,1,32,Windows 11,9,1,15,7,1
MSI,1,60,2.7 kg,151999,intel,ultra 9,u,2,16,Windows 11,9,1,15,7,1
HP,1,60,2.31 Kg,82399,intel,i7,hx,1,16,Windows 11,5,1,6,5,1
MSI,1,60,2.7 kg,179888,intel,i9,hx,1,32,Windows 11,9,1,7,5,1
MSI,1,60,2.7 kg,129999,intel,ultra 9,u,2,32,Windows 11,9,1,15,7,1
MSI,1,60,2.7 kg,169999,intel,ultra 9,u,2,32,Windows 11,9,1,15,7,1
MSI,2,60,3.6 kg,299999,intel,ultra 9,u,2,4,Windows 11,9,1,15,7,1
Lenovo,512,60,2.38 kg,36666,intel,i5,hx,2,4,Windows 11,8,1,5,5,1
ASUS,2,144,2.80 Kg,193999,intel,ultra 9,u,1,4,Windows 11,1,1,15,7,1
ASUS,1,144,2.80 Kg,155000,intel,ultra 9,u,1,32,Windows 11,1,1,15,7,1
ASUS,2,144,1.95 Kg,147777,intel,ultra 9,u,1,32,Windows 11,1,1,15,7,1
HP,1,60,2.76 kg,200000,intel,ultra 9,u,1,32,Windows 11,5,1,15,7,1
HP,512,144,2.29 kg,41199,intel,i5,h,1,16,dos,5,1,5,3,2
Lenovo,1,60,2.38 kg,58699,intel,i7,hx,2,16,dos,8,1,6,5,2
ASUS,512,144,2.20 Kg,39999,intel,i5,h,1,8,Windows 11,1,1,5,3,1
ASUS,512,60,1.80 kg,29999,intel,i5,h,1,8,Windows 11,1,1,5,3,1
Lenovo,1,60,2.38 kg,59699,intel,i7,hx,2,16,Windows 11,8,1,6,5,1
MSI,512,60,1.86 kg,45599,amd,ryzen 7,hs,2,16,dos,9,0,10,4,2
MSI,512,60,2.25 kg,52249,amd,ryzen 9,hs,2,16,dos,9,0,11,4,2
MSI,512,60,2.25 kg,56899,amd,ryzen 9,hs,2,16,dos,9,0,11,4,2
MSI,512,60,1.86 kg,34849,intel,i7,h,2,16,dos,9,1,6,3,2
HP,1,144,2.31 kg,39499,intel,i5,hx,1,16,dos,5,1,5,5,2
HP,512,144,2.29 kg,39099,intel,i5,h,1,16,dos,5,1,5,3,2
ASUS,1,144,1.46 Kg,64777,amd,ai 9,hx,1,16,Windows 11,1,0,1,5,1
HP,512,144,2.29 kg,38888,intel,i5,h,1,16,dos,5,1,5,3,2
Lenovo,512,60,1.77 kg,29749,intel,i5,hx,1,16,dos,8,1,5,5,2
HP,1,60,2.39 kg,91499,intel,i7,hx,1,16,Windows 11,5,1,6,5,1
HP,512,144,2.29 kg,38888,intel,i5,h,1,16,Windows 11,5,1,5,3,1
HP,512,144,2.29 kg,40999,intel,i7,h,1,8,dos,5,1,6,3,2
HP,1,144,2.33 kg,59999,intel,i7,hx,1,16,dos,5,1,6,5,2
Lenovo,512,60,2.38 kg,46499,intel,i7,hx,1,4,dos,8,1,6,5,2
HP,512,144,2.33 kg,61799,intel,i7,hx,1,16,dos,5,1,6,5,2
Dell,1,60,2.81 kg,59999,intel,i7,hx,1,16,Windows 11,4,1,6,5,1
Lenovo,512,60,2.38 kg,55999,intel,i7,hx,1,16,dos,8,1,6,5,2
MSI,512,60,1.85 Kg,32499,intel,i5,h,1,8,Windows 11,9,1,5,3,1
HP,1,144,2.33 Kg,88888,intel,i7,h,1,16,Windows 11,5,1,6,3,1
HP,512,144,2.29 kg,40999,amd,ryzen 5,hs,1,16,Windows 11,5,0,9,4,1
Lenovo,512,60,2.38 kg,43999,intel,i7,hx,2,16,dos,8,1,6,5,2
HP,512,144,2.29 kg,40099,intel,i5,h,1,16,dos,5,1,5,3,2
HP,512,144,2.29 kg,38666,intel,i5,h,1,16,dos,5,1,5,3,2
HP,1,60,2.34 kg,71000,intel,i7,h,1,16,Windows 11,5,1,6,3,1
HP,512,144,2.29 kg,40999,intel,i7,h,1,8,dos,5,1,6,3,2
HP,512,144,2.29 kg,37777,amd,ryzen 5,hs,1,8,Windows 11,5,0,9,4,1
MSI,512,60,1.98 kg,47499,intel,i7,h,2,16,dos,9,1,6,3,2
HP,1,60,2.35 kg,57777,intel,i7,h,1,16,Windows 11,5,1,6,3,1
Dell,512,60,2.81 kg,56666,intel,i7,hx,1,16,dos,4,1,6,5,2
Lenovo,1,60,2.4 kg,65199,intel,i7,h,1,16,dos,8,1,6,3,2
ASUS,512,144,2.00 Kg,99999,intel,i7,h,1,16,Windows 11,1,1,6,3,1
HP,1,144,2.33 kg,48888,intel,i7,h,1,16,dos,5,1,6,3,2
HP,1,144,2.33 kg,48888,intel,i7,h,1,16,dos,5,1,6,3,2
Lenovo,512,144,2.25 kg,43999,amd,ryzen 7,h,1,16,dos,8,0,10,3,2
HP,512,144,2.29 kg,30999,amd,ryzen 7,h,1,16,Windows 11,5,0,10,3,1
