Age,Gender,Family_Income,Study_Hours_per_Day,Attendance_Rate,Travel_Time_Minutes,Part_Time_Job,Scholarship,Stress_Index,CGPA,Semester,Department,Parental_Education,Dropout,Parental_Education_label,Department_label
22,0,25000.0,3.36,86.1,20.4,0,0,5.5,0.9,1,Arts,High School,0,0,0
20,0,25000.0,4.3,68.0,44.0,1,0,6.8,1.19,3,Engineering,Bachelor,1,1,1
22,0,40183.0,4.4,70.9,48.9,0,0,5.5,1.32,1,Arts,Master,0,2,0
24,0,29219.0,4.19,82.2,38.6,1,0,5.5,1.77,1,CS,High School,1,0,2
20,1,25319.0,4.19,75.7,23.0,1,0,7.0,0.87,4,Business,Bachelor,0,1,3
20,0,25000.0,4.11,89.1,47.1,1,1,6.0,2.69,3,Business,Bachelor,0,1,3
24,0,25000.0,3.0,78.2,37.4,0,1,7.3,0.44,4,CS,Bachelor,0,1,2
22,1,25000.0,2.12,86.4,34.0,1,1,6.5,1.14,1,Arts,High School,0,0,0
20,0,57413.0,4.07,97.5,52.1,1,0,4.2,2.81,1,CS,High School,0,0,2
22,1,44930.0,2.98,82.2,19.7,1,0,6.7,1.73,1,Science,Master,0,2,4
20,1,25000.0,5.27,73.9,39.3,0,0,7.2,1.46,3,Business,Bachelor,1,1,3
20,0,46056.0,2.37,85.2,20.2,0,1,8.0,0.15,2,Engineering,Bachelor,1,1,1
21,1,50644.0,3.54,84.3,22.7,1,1,4.6,2.72,4,CS,Bachelor,0,1,2
17,1,27000.0,4.2,84.0,61.2,1,1,4.8,2.7,1,Business,Bachelor,0,1,3
17,0,30604.5,3.555,92.9,36.0,0,0,5.5,2.92,3,Engineering,Bachelor,0,1,1
19,0,26246.0,3.49,72.5,52.2,1,0,7.0,3.15,1,Arts,Master,0,2,0
18,1,28037.0,4.24,90.0,36.5,1,1,4.6,2.2,1,Engineering,High School,0,0,1
21,1,25000.0,4.8,77.2,34.8,0,1,4.3,1.78,4,Business,Master,0,2,3
19,1,37058.0,4.99,93.0,22.5,1,0,4.7,3.59,1,Arts,Bachelor,0,1,0
17,0,35168.0,4.48,65.0,41.7,1,0,5.6,1.63,1,Business,Bachelor,1,1,3
24,1,38833.0,6.35,99.8,30.3,1,1,3.9,2.23,1,CS,Bachelor,0,1,2
20,0,35149.0,3.48,79.8,31.0,0,0,6.3,2.0,3,Arts,Master,0,2,0
21,1,46069.0,6.25,72.3,26.9,0,1,2.4,3.92,3,CS,Bachelor,0,1,2
17,1,26700.0,4.9,89.3,28.8,1,1,4.0,3.04,4,Business,Bachelor,0,1,3
19,1,33559.0,4.32,86.1,30.3,0,0,5.8,0.43,4,Business,PhD,1,3,3
